Key,Screen/Context,English,Urdu,Roman Urdu,Notes
myBookingsAdjustFilters,Uncategorised,Try adjusting your filters or search term,اپنے فلٹر یا تلاش کا لفظ بدل کر دیکھیں,Apne filter ya search word badal kar dekhein,
myBookingsBookFirst,Uncategorised,Book your first service to get started,شروع کرنے کے لیے اپنی پہلی سروس بک کریں,Shuru karne ke liye apni pehli service book karein,
myBookingsRefreshFailed,Uncategorised,Could not refresh. Pull to retry.,ریفریش نہیں ہو سکا۔ دوبارہ کوشش کے لیے کھینچیں۔,Refresh nahi hua. Dobara koshish ke liye kheenchein.,
myBookingsSomethingWrong,Uncategorised,Something went wrong,کچھ غلط ہو گیا,Kuch ghalat ho gaya,
cardTodayAt,Uncategorised,"Today, {time}",آج، {time},"Aaj, {time}",Placeholders: {time}
cardGoesLiveBefore,Uncategorised,Goes live 1h before window,وقت سے ایک گھنٹہ پہلے لائیو ہوگا,Window se 1 ghanta pehle live hoga,
cardWorkersNotified,Uncategorised,Workers are notified immediately,استادوں کو فوراً اطلاع دی جاتی ہے,Ustaad ko foran ittila di jati hai,
cardSearchingWorkers,Uncategorised,Searching for workers...,استاد تلاش کیے جا رہے ہیں...,Ustaad dhoonde ja rahe hain...,
cardNoWorkerYet,Uncategorised,No worker yet,ابھی کوئی استاد نہیں,Abhi koi Ustaad nahi,
cardEstimatePrefix,Uncategorised,est.,تخمینہ,Taqreeban,
cardFindWorkers,Uncategorised,Find Workers,استاد تلاش کریں,Ustaad dhoondein,
cardEdit,Uncategorised,Edit,تبدیلی,Edit,
filterTitle,Uncategorised,Filter Bookings,بکنگز فلٹر کریں,Bookings filter karein,
filterReset,Uncategorised,Reset,ری سیٹ,Reset,
filterAll,Uncategorised,All,سب,Sab,
filterUrgentOption,Uncategorised,⚡ Urgent,⚡ فوری,⚡ Urgent,
filterNormalOption,Uncategorised,🗓 Normal,🗓 عام,🗓 Normal,
filterSortByDate,Uncategorised,Sort by date,تاریخ کے حساب سے ترتیب,Date ke hisab se sort,
filterNewestFirst,Uncategorised,Newest first,نئی پہلے,Nayi pehle,
filterOldestFirst,Uncategorised,Oldest first,پرانی پہلے,Purani pehle,
filterApply,Uncategorised,Apply Filters,فلٹر لگائیں,Filter lagayein,
searchBookingsHint,Uncategorised,"Search bookings, services...",بکنگز، سروسز تلاش کریں...,"Bookings, services dhoondein...",
cancelReasonTitle,Uncategorised,Reason for cancelling the booking,بکنگ منسوخ کرنے کی وجہ,Booking Cancel Karne Ki Wajah,
cancelReasonRequired,Uncategorised,Please give a reason.,براہِ کرم وجہ بتائیں۔,Barah-e-karam wajah batayein.,
cancelReasonSelect,Uncategorised,Select a reason,وجہ منتخب کریں,Wajah select karein,
cancelReasonWriteOwn,Uncategorised,Write your own reason,اپنی وجہ لکھیں,Apni wajah likhein,
reviewSubmitFailed,Reviews & ratings,The review could not be submitted.,ریویو جمع نہیں ہو سکا۔,Review submit nahi ho saka.,
reviewPromptBeforeContinuing,Reviews & ratings,Please review your Ustaad before continuing.,آگے بڑھنے سے پہلے اپنے استاد کو ریویو دیں۔,Aage barhne se pehle apne Ustaad ko review dein.,
reviewHowWasWork,Reviews & ratings,How was the work?,کام کیسا رہا؟,Kaam kaisa raha?,
reviewCommentHint,Reviews & ratings,Write a comment (optional)...,تبصرہ لکھیں (اختیاری)...,Comment likhein (optional)...,
reviewSubmit,Reviews & ratings,Submit Review,ریویو جمع کریں,Review Submit Karein,
reviewSelectRating,Reviews & ratings,Please choose a star rating first.,پہلے ستارے منتخب کریں۔,Barah-e-karam pehle rating select karein.,Inline error under the stars when Submit is tapped with no rating
reviewSubmitSuccess,Reviews & ratings,Thank you! Your review has been submitted.,شکریہ! آپ کا ریویو جمع ہو گیا۔,Shukriya! Aap ka review submit ho gaya.,Confirmation snackbar after a successful review
reviewLater,Reviews & ratings,Later,بعد میں,Baad Mein,
chatOpenFailed,Chat & Support,Could not open chat.,چیٹ نہیں کھل سکی۔,Chat nahi khul saki.,
mediaTapToPlay,Uncategorised,Tap to play,چلانے کے لیے دبائیں,Chalane ke liye dabayein,
inspectionConfirm,Inspection flow,Confirm,تصدیق کریں,Confirm karein,
trackSubtextCompleted,Uncategorised,{name} has completed the job,{name} نے کام مکمل کر دیا,{name} ne kaam mukammal kar diya,Placeholders: {name}
trackSubtextContinuingRepair,Uncategorised,{name} is continuing the repair,{name} مرمت جاری رکھے ہوئے ہیں,{name} marammat jari rakhe hue hain,Placeholders: {name}
trackSubtextOnTheWay,Uncategorised,{name} is on the way to your location,{name} آپ کی لوکیشن کی طرف آ رہے ہیں,{name} aap ki location ki taraf aa rahe hain,Placeholders: {name}
trackSubtextArrived,Uncategorised,{name} has arrived at your location,{name} آپ کی لوکیشن پر پہنچ گئے ہیں,{name} aap ki location par pohanch gaye hain,Placeholders: {name}
trackSubtextInspecting,Uncategorised,{name} is inspecting the issue,{name} مسئلہ دیکھ رہے ہیں,{name} masla dekh rahe hain,Placeholders: {name}
trackSubtextHiredForInspection,Uncategorised,{name} has been hired for this inspection,{name} کو اس معائنے کے لیے ہائر کیا گیا ہے,{name} ko is Muainay ke liye hire kiya gaya hai,Placeholders: {name}
trackSubtextWorking,Uncategorised,{name} is working on your job,{name} آپ کے کام پر لگے ہوئے ہیں,{name} aap ke kaam par lage hue hain,Placeholders: {name}
trackSubtextHiredForJob,Uncategorised,{name} has been hired for this job,{name} کو اس کام کے لیے ہائر کیا گیا ہے,{name} ko is kaam ke liye hire kiya gaya hai,Placeholders: {name}
urgentWithin1Hour,Uncategorised,Within 1 hour,ایک گھنٹے کے اندر,Ek ghante ke andar,
urgentWithin2Hours,Uncategorised,Within 2 hours,دو گھنٹوں کے اندر,Do ghanton ke andar,
urgentWithin4Hours,Uncategorised,Within 4 hours,چار گھنٹوں کے اندر,Chaar ghanton ke andar,
inspectionFeePaid,Inspection flow,Inspection fee paid,معائنہ فیس ادا ہو گئی,Muaina fee paid,
inspectionFeeNotPaid,Inspection flow,Inspection fee not paid,معائنہ فیس ادا نہیں ہوئی,Muaina fee paid nahi,
chooseWithinRadius,Uncategorised,within {km} km,{km} کلومیٹر کے اندر,{km} km ke andar,Placeholders: {km}
chooseHireConfirmBodyFull,Uncategorised,Hire {name} for this job? You will not be able to choose a different Ustaad afterwards.,کیا {name} کو یہ کام دیں؟ اس کے بعد آپ دوسرا استاد منتخب نہیں کر سکیں گے۔,{name} ko ye kaam dein? Is ke baad aap doosra Ustaad nahi chun sakenge.,Placeholders: {name}
trackHeadlineUstaadOnTheWay,Uncategorised,Ustaad On The Way,استاد راستے میں,Ustaad On The Way,
trackHeadlineUstaadArrived,Uncategorised,Ustaad Arrived,استاد پہنچ گئے,Ustaad Arrived,
trackHeadlineWorkInProgress,Uncategorised,Work In Progress,کام جاری ہے,Work In Progress,
trackHeadlineHired,Uncategorised,Hired ✓,ہائر ہو گئے ✓,Hire ho gaye ✓,
trackRatingOutOfFive,Uncategorised,{rating} / 5.0,{rating} / 5.0,{rating} / 5.0,Placeholders: {rating}
discoveryLoadingBids,Uncategorised,Loading offers...,آفرز لوڈ ہو رہی ہیں...,Offers load ho rahi hain...,
discoveryBidsLoadFailedShort,Uncategorised,Could not load offers,آفرز لوڈ نہیں ہو سکیں,Offers load nahi ho sakin,
bookingWorkersAvailableNearby,Bookings,"{count, plural, =1{{count} worker available nearby} other{{count} workers available nearby}}",قریب {count} استاد دستیاب,Qareeb {count} Ustaad available,Placeholders: {count} | ICU plural — keep the plural syntax intact
bookingIdShort,Bookings,#ER-{code},#ER-{code},#ER-{code},Placeholders: {code}
inspectionPartWithWarranty,Inspection flow,{name} x{quantity} · {warranty},{name} x{quantity} · {warranty},{name} x{quantity} · {warranty},"Placeholders: {name}, {quantity}, {warranty}"
discoveryPendingBidsSorted,Uncategorised,"{count, plural, =1{{count} pending offer · sorted by price} other{{count} pending offers · sorted by price}}",{count} باقی آفرز · قیمت کے حساب سے ترتیب,{count} pending offers · qeemat ke hisab se sorted,Placeholders: {count} | ICU plural — keep the plural syntax intact
workerOffline,Ustaad,Offline,آف لائن,Offline,
workerOnline,Ustaad,Online,آن لائن,Online,
workerBusy,Ustaad,Busy,مصروف,Busy,
workerOfflineHelper,Ustaad,You are hidden from clients,آپ کلائنٹس کو نظر نہیں آ رہے,Aap clients ko nazar nahi aa rahe,
workerOnlineHelper,Ustaad,Clients near your location can see you,آپ کے قریب موجود کلائنٹس آپ کو دیکھ سکتے ہیں,Aap ke qareeb ke clients aap ko dekh sakte hain,
workerBusyHelper,Ustaad,You are currently working on a job,آپ اس وقت ایک کام پر مصروف ہیں,Aap is waqt ek kaam par masroof hain,
workerStatusOnTheWay,Ustaad,On the Way,راستے میں,Raaste mein,
workerActionOnMyWay,Ustaad,On My Way,میں روانہ ہوں,Main rawana hoon,
workerActionArrived,Ustaad,Arrived,پہنچ گیا,Pohanch gaya,
workerActionStartJob,Ustaad,Start Job,کام شروع کریں,Kaam shuru karein,
workerActionCompleteJob,Ustaad,Complete Job,کام مکمل کریں,Kaam mukammal karein,
workerActionStartInspection,Ustaad,Start Inspection,معائنہ شروع کریں,Muaina shuru karein,
workerActionStartWork,Ustaad,Start Work,کام شروع کریں,Kaam shuru karein,
workerActionFillReport,Ustaad,Fill Inspection Report,معائنہ رپورٹ بھریں,Muaina report bharein,
workerActionWaitingForClient,Ustaad,Waiting for Client Decision,کلائنٹ کے فیصلے کا انتظار,Client ke faisle ka intezar,
workerSuccessOnTheWay,Ustaad,On the way — client notified.,آپ روانہ ہیں — کلائنٹ کو اطلاع دے دی گئی۔,Aap rawana hain — client ko ittila de di gayi.,
workerSuccessArrived,Ustaad,Marked as arrived.,پہنچنے کا نشان لگا دیا گیا۔,Pohanchne ka nishan laga diya gaya.,
workerSuccessJobStarted,Ustaad,Job started.,کام شروع ہو گیا۔,Kaam shuru ho gaya.,
workerSuccessJobCompleted,Ustaad,Job marked as completed.,کام مکمل شدہ نشان زد ہو گیا۔,Kaam mukammal mark ho gaya.,
workerSuccessInspectionStarted,Ustaad,Inspection started.,معائنہ شروع ہو گیا۔,Muaina shuru ho gaya.,
workerSuccessWorkStarted,Ustaad,Work started.,کام شروع ہو گیا۔,Kaam shuru ho gaya.,
workerSkillNotSelected,Ustaad,Skill not selected,مہارت منتخب نہیں کی گئی,Skill select nahi ki gayi,
workerLocating,Ustaad,Locating…,لوکیشن معلوم کی جا رہی ہے…,Location maloom ki ja rahi hai…,
workerTapToRetry,Ustaad,Tap to retry,دوبارہ کوشش کے لیے دبائیں,Dobara koshish ke liye dabayein,
workerTapForLocation,Ustaad,Tap for location,لوکیشن کے لیے دبائیں,Location ke liye dabayein,
workerOnActiveJob,Ustaad,On Active Job,کام جاری ہے,Kaam jari hai,
workerConnecting,Ustaad,Connecting...,کنیکٹ ہو رہا ہے...,Connect ho raha hai...,
workerGoingOffline,Ustaad,Going offline...,آف لائن ہو رہے ہیں...,Offline ho rahe hain...,
workerGoOffline,Ustaad,Go Offline,آف لائن ہو جائیں,Offline ho jayein,
workerGoOnline,Ustaad,Go Online,آن لائن ہو جائیں,Online ho jayein,
workerTodaysEarnings,Ustaad,Today's Earnings,آج کی کمائی,Aaj ki Kamai,
workerRating,Ustaad,Rating,ریٹنگ,Rating,
workerActive,Ustaad,Active,فعال,Active,
workerGoOfflineConfirmTitle,Ustaad,Go Offline?,آف لائن ہو جائیں؟,Offline ho jayein?,
workerGoOfflineConfirmBody,Ustaad,You will stop appearing to nearby clients.,آپ قریبی کلائنٹس کو نظر آنا بند ہو جائیں گے۔,Aap qareebi clients ko nazar aana band ho jayenge.,
workerGoOfflineConfirmYes,Ustaad,"Yes, Go Offline",ہاں، آف لائن کریں,"Haan, offline karein",
workerFindNewWork,Ustaad,Find New Work,نیا کام ڈھونڈیں,Naya Kaam Dhondain,
workerViewNewJobs,Ustaad,View New Jobs,نئے کام دیکھیں,Naye kaam dekhein,
workerNewComplaintsCount,Ustaad,"{count, plural, =1{1 new} other{{count} new}}","{count, plural, =1{1 نئی} other{{count} نئی}}","{count, plural, =1{1 nayi} other{{count} nayi}}",Home "New Complaints" tile subtitle when unread new jobs exist; same count as the Naye Kaam tab badge
workerActiveJobCaps,Ustaad,ACTIVE JOB,جاری کام,JARI KAAM,
workerMap,Ustaad,Map,نقشہ,Map,
workerViewDetails,Ustaad,View details →,تفصیلات دیکھیں ←,Tafseelat dekhein →,
workerNoActiveJob,Ustaad,No active job right now,اس وقت کوئی کام جاری نہیں,Is waqt koi kaam jari nahi,
workerStayOnlineHint,Ustaad,Stay online to find work nearby.,قریبی کام تلاش کرنے کے لیے آن لائن رہیں۔,"Online rahein, nazdeek ka kaam dhondne ke liye.",
workerReady,Ustaad,Ready,تیار,Tayyar,
workerPerformance,Ustaad,Performance,کارکردگی,Performance,
workerJobsDone,Ustaad,Jobs Done,مکمل کام,Jobs Done,
workerCancelRate,Ustaad,Cancel Rate,منسوخی کی شرح,Cancel Rate,
workerPercentValue,Ustaad,{value}%,{value}%,{value}%,Placeholders: {value}
workerResponse,Ustaad,Response,جواب,Response,
workerReviews,Ustaad,Reviews,ریویوز,Reviews,
workerSeeAll,Ustaad,See all →,سب دیکھیں ←,Sab dekhein →,
workerNoReviewsYet,Ustaad,No reviews yet,ابھی کوئی ریویو نہیں,Abhi koi review nahi,
workerReviewsAppearHint,Ustaad,Client reviews will appear here after your completed jobs.,آپ کے مکمل کاموں کے بعد کلائنٹس کے ریویوز یہاں نظر آئیں گے۔,Aap ke mukammal kaamon ke baad clients ke reviews yahan nazar aayenge.,
workerSelectMainSkill,Ustaad,Select your main skill,اپنی بنیادی مہارت منتخب کریں,Apni main skill chunain,
workerSelectMainSkillHint,Ustaad,Select your main skill to start receiving work,کام ملنا شروع کرنے کے لیے اپنی بنیادی مہارت منتخب کریں,Kaam milna shuru karne ke liye apni main skill chunain,
workerCategoriesLoadFailed,Ustaad,Failed to load categories: {error},کیٹیگریز لوڈ نہیں ہو سکیں: {error},Categories load nahi ho sakin: {error},Placeholders: {error}
workerSkillsSaveFailed,Ustaad,Failed to save skills. Please try again.,مہارتیں محفوظ نہیں ہو سکیں۔ دوبارہ کوشش کریں۔,Skills save nahi ho sakin. Dobara koshish karein.,
workerSaveAndGoOnline,Ustaad,Save & Go Online,محفوظ کریں اور آن لائن ہوں,Save karein aur online hon,
workerDashboardLoadFailed,Ustaad,Failed to load dashboard,ڈیش بورڈ لوڈ نہیں ہو سکا,Dashboard load nahi ho saka,
workerNewJobsTitle,Ustaad,New Jobs,نئے کام,Naye Kaam,
workerNewJobsSubtitle,Ustaad,Work matching your skills,آپ کی مہارت کے مطابق کام,Aapke hunar ke hisaab se kaam,
workerCompleteProfileForNewJobs,Ustaad,Complete your profile. Once it is approved you will start seeing new jobs.,اپنی پروفائل مکمل کریں۔ منظوری کے بعد آپ کو نئے کام نظر آنے لگیں گے۔,Apni profile complete karain. Approval ke baad aapko naye kaam nazar ayenge.,
workerNewJobsLoadFailed,Ustaad,Failed to load new jobs.,نئے کام لوڈ نہیں ہو سکے۔,Naye kaam load nahi ho sake.,
workerOfferCount,Ustaad,"{count, plural, =1{{count} offer} other{{count} offers}}",{count} آفرز,{count} offers,Placeholders: {count} | ICU plural — keep the plural syntax intact
workerDirectHireNote,Ustaad,The client can hire you directly. No offer needed.,کلائنٹ آپ کو براہِ راست ہائر کر سکتا ہے۔ آفر بھیجنے کی ضرورت نہیں۔,Client aap ko seedha hire kar sakta hai. Koi offer bhejne ki zaroorat nahi.,
workerListedJob,Ustaad,Listed Job,درج شدہ کام,Listed Job,
workerOfferSent,Ustaad,Offer sent,آفر بھیج دی,Offer bhej di,
workerNoNewJobs,Ustaad,No new jobs right now,اس وقت کوئی نیا کام نہیں,Is waqt koi naya kaam nahi,
workerNoNewJobsHint,Ustaad,New job requests matching your skills will appear here. Pull down to refresh.,آپ کی مہارت کے مطابق نئے کام یہاں نظر آئیں گے۔ ریفریش کرنے کے لیے نیچے کھینچیں۔,Aap ki skill ke mutabiq naye kaam yahan nazar aayenge. Refresh ke liye neeche kheenchein.,
workerCompleteProfileForJobs,Ustaad,Complete your profile. Once it is approved you can manage your jobs.,اپنی پروفائل مکمل کریں۔ منظوری کے بعد آپ اپنے کام سنبھال سکیں گے۔,Apni profile complete karain. Approval ke baad aap apni jobs manage kar sakenge.,
workerJobsLoadFailed,Ustaad,Failed to load jobs. Please try again.,کام لوڈ نہیں ہو سکے۔ دوبارہ کوشش کریں۔,Jobs load nahi ho sake. Dobara koshish karein.,
workerClientCancelledBooking,Ustaad,The client cancelled this booking,کلائنٹ نے یہ بکنگ منسوخ کر دی,Client ne ye booking cancel kar di,
workerOnlyInspectionCompleted,Ustaad,Only the inspection was completed,صرف معائنہ مکمل ہوا,Sirf Muaina Mukammal Hua,
workerComplete,Ustaad,Complete,مکمل کریں,Complete,
workerCompleting,Ustaad,Completing...,مکمل کیا جا رہا ہے...,Complete ho raha hai...,
workerMarkCompletedTitle,Ustaad,Mark as Completed?,مکمل شدہ نشان زد کریں؟,Mukammal mark karein?,
workerMarkCompletedBody,Ustaad,This will close the job and notify the client.,اس سے کام بند ہو جائے گا اور کلائنٹ کو اطلاع مل جائے گی۔,Is se kaam band ho jayega aur client ko ittila mil jayegi.,
workerNoActiveJobs,Ustaad,No active jobs,کوئی جاری کام نہیں,Koi jari kaam nahi,
workerNoCompletedJobs,Ustaad,No completed jobs yet,ابھی کوئی مکمل کام نہیں,Abhi koi mukammal kaam nahi,
workerNoCancelledJobs,Ustaad,No cancelled jobs,کوئی منسوخ کام نہیں,Koi cancel kaam nahi,
workerNoJobsAssigned,Ustaad,No jobs assigned yet,ابھی کوئی کام نہیں ملا,Abhi koi kaam nahi mila,
workerNoAppliedJobs,Ustaad,No applied jobs yet,ابھی کوئی درخواست نہیں دی,Abhi koi offer nahi bheji,
workerNewRequestsHere,Ustaad,New requests will appear here,نئی درخواستیں یہاں نظر آئیں گی,Nayi requests yahan nazar aayengi,
workerCompletedJobsHere,Ustaad,Completed jobs will show up here,مکمل کام یہاں نظر آئیں گے,Mukammal kaam yahan nazar aayenge,
workerCancelledJobsHere,Ustaad,Cancelled jobs will show up here,منسوخ کام یہاں نظر آئیں گے,Cancel kaam yahan nazar aayenge,
workerAppliedJobsHere,Ustaad,Jobs you've placed an offer on will show up here,جن کاموں پر آپ نے آفر بھیجی ہے وہ یہاں نظر آئیں گے,Jin kaamon par aapne offer bheji hai woh yahan nazar aayenge,
workerAcceptToGetStarted,Ustaad,Accept a booking request to get started,شروع کرنے کے لیے کوئی بکنگ قبول کریں,Shuru karne ke liye koi booking accept karein,
workerFilterCancelled,Ustaad,Cancelled,منسوخ,Cancel,
workerFilterAllWork,Ustaad,All Work,سارا کام,Sab Kaam,
workerFilterMyOffers,Ustaad,My Offers,میری آفرز,Meri Offers,
workerFilterNoOfferSent,Ustaad,No offer sent,آفر نہیں بھیجی,Offer nahi bheji,
bidPlaceABid,Bidding,Send an Offer,آفر بھیجیں,Offer bhejein,
bidChatWithClient,Bidding,Chat with Client,کلائنٹ سے چیٹ کریں,Client se chat karein,
bidLiveBids,Bidding,Live Offers,لائیو آفرز,Live Offers,
bidAreaNotAvailable,Bidding,Area not available,علاقہ دستیاب نہیں,Ilaqa available nahi,
bidExactAddressAfterAccept,Bidding,The exact address is shared once the client accepts your offer.,کلائنٹ کے آپ کی آفر قبول کرنے پر مکمل پتہ بھیج دیا جاتا ہے۔,Client ke aap ki offer accept karne par poora pata bhej diya jata hai.,
bidStatusAccepted,Bidding,Accepted,منظور,Accept,
bidStatusRejected,Bidding,Rejected,مسترد,Reject,
bidStatusPending,Bidding,Pending,باقی,Pending,
bidYourCurrentBid,Bidding,Your Current Offer,آپ کی موجودہ آفر,Aap ki mojooda offer,
bidSubmit,Bidding,Submit Offer,آفر جمع کریں,Offer submit karein,
bidUpdate,Bidding,Update Offer,آفر اپ ڈیٹ کریں,Offer update karein,
bidPlaceYourBid,Bidding,Send Your Offer,اپنی آفر بھیجیں,Apni offer bhejein,
bidUpdateYourBid,Bidding,Update Your Offer,اپنی آفر اپ ڈیٹ کریں,Apni offer update karein,
bidCanUpdateIn,Bidding,You can update your offer in {seconds}s.,آپ {seconds} سیکنڈ بعد آفر اپ ڈیٹ کر سکتے ہیں۔,Aap {seconds}s baad offer update kar sakte hain.,Placeholders: {seconds}
bidCanUpdateNow,Bidding,You can update your offer now.,آپ ابھی اپنی آفر اپ ڈیٹ کر سکتے ہیں۔,Aap abhi apni offer update kar sakte hain.,
bidAmountLabel,Bidding,Offer Amount (PKR) *,آفر کی رقم (PKR) *,Offer Amount (PKR) *,
bidAmountHint,Bidding,e.g. 2500,مثلاً 2500,Maslan 2500,
bidLabelWithCountdown,Bidding,{label} ({seconds}s),{label} ({seconds}s),{label} ({seconds}s),"Placeholders: {label}, {seconds}"
bidJobCount,Bidding,"{count, plural, =1{{count} job} other{{count} jobs}}",{count} کام,{count} jobs,Placeholders: {count} | ICU plural — keep the plural syntax intact
bidBeFirstToBid,Bidding,Be the first to send an offer on this job,اس کام پر سب سے پہلے آفر بھیجیں,Is kaam par sab se pehle offer bhejein,
earningBidding,Earnings,Offers,آفرز,Offers,
earningHistoryTitle,Earnings,Earning History,کمائی کی تفصیل,Earning History,
earningNoneYet,Earnings,No earnings yet,ابھی کوئی کمائی نہیں,Abhi koi kamai nahi,
earningNoneHint,Earnings,Completed jobs will show up here with your daily earnings.,مکمل کام یہاں آپ کی روزانہ کمائی کے ساتھ نظر آئیں گے۔,Mukammal kaam yahan aap ki rozana kamai ke sath nazar aayenge.,
reviewsMyReviews,Reviews & ratings,My Reviews,میرے ریویوز,Mere Reviews,
reviewsCount,Reviews & ratings,"{count, plural, =1{{count} review} other{{count} reviews}}",{count} ریویوز,{count} reviews,Placeholders: {count} | ICU plural — keep the plural syntax intact
reviewsSubtitle,Reviews & ratings,Reviews from clients for jobs you completed,آپ کے مکمل کیے گئے کاموں پر کلائنٹس کے ریویوز,Aap ke mukammal kaamon par clients ke reviews,
reviewsAvg,Reviews & ratings,Avg,اوسط,Avg,
reviewsMax,Reviews & ratings,Max,زیادہ سے زیادہ,Max,
reviewsMin,Reviews & ratings,Min,کم سے کم,Min,
reviewsEmptyHint,Reviews & ratings,"Once clients review your completed jobs,
their reviews will appear here.","جب کلائنٹس آپ کے مکمل کاموں پر ریویو دیں گے،
وہ یہاں نظر آئیں گے۔","Jab clients aap ke mukammal kaamon par review denge,
wo yahan nazar aayenge.",
reviewsRatingSummary,Reviews & ratings,"{rating} · {count, plural, =1{{count} review} other{{count} reviews}}",{rating} · {count} ریویوز,{rating} · {count} reviews,"Placeholders: {count}, {rating} | ICU plural — keep the plural syntax intact"
reviewsHighestLowest,Reviews & ratings,Highest: {max} ★  ·  Lowest: {min} ★,زیادہ سے زیادہ: {max} ★  ·  کم سے کم: {min} ★,Highest: {max} ★  ·  Lowest: {min} ★,"Placeholders: {max}, {min}"
inspFormChooseFromGallery,Uncategorised,Choose from Gallery,گیلری سے منتخب کریں,Gallery se chunain,
inspFormSubmitted,Uncategorised,Report submitted. Waiting for client decision.,رپورٹ جمع ہو گئی۔ کلائنٹ کے فیصلے کا انتظار ہے۔,Report jama ho gayi. Client ke faisle ka intezar hai.,
inspFormSubmitFailed,Uncategorised,Failed to submit report.,رپورٹ جمع نہیں ہو سکی۔,Report jama nahi ho saki.,
inspFormWhatWasIssue,Uncategorised,What was the issue?,مسئلہ کیا نکلا؟,Masla kya nikla?,
inspFormWhatWasIssueRequired,Uncategorised,What was the issue? *,مسئلہ کیا نکلا؟ *,Masla kya nikla? *,
inspFormRecommendedRepair,Uncategorised,Recommended Repair,بہتر طریقہ,Behtar Tareeqa,
inspFormRecommendedRepairRequired,Uncategorised,Recommended Repair *,بہتر طریقہ *,Behtar Tareeqa *,
inspFormWhatWorkNeeded,Uncategorised,What work will be needed,کیا کام کرنا ہوگا,Kya kaam karna hoga,
inspFormWriteOrRecord,Uncategorised,Please write the report or record a voice note.,براہِ کرم رپورٹ لکھیں یا وائس نوٹ ریکارڈ کریں۔,Barah-e-karam report likhein ya voice note record karein.,
inspFormPartsRequired,Uncategorised,Parts required?,پرزے درکار ہیں؟,Parts chahiye?,
inspFormAddPart,Uncategorised,Add part,پرزہ شامل کریں,Part shamil karein,
inspFormUstaadNotes,Uncategorised,Ustaad notes,استاد کے نوٹس,Ustaad ke notes,
inspFormSubmitReport,Uncategorised,Submit report,رپورٹ جمع کریں,Report submit karain,
inspFormIssuePhotos,Uncategorised,"Issue photos — optional, max {max}",مسئلے کی تصاویر — اختیاری، زیادہ سے زیادہ {max},"Masle ki photos — optional, max {max}",Placeholders: {max}
inspFormVoiceNote,Uncategorised,Voice note,وائس نوٹ,Voice note,
inspFormVoiceNoteHint,Uncategorised,"If writing is difficult, record a voice note instead.",اگر لکھنا مشکل ہو تو وائس نوٹ ریکارڈ کر دیں۔,"Agar likhna mushkil ho, voice note record kar dein.",
inspFormRecording,Uncategorised,Recording  {duration},ریکارڈنگ  {duration},Recording  {duration},Placeholders: {duration}
inspFormStop,Uncategorised,Stop,روکیں,Stop,
inspFormStartRecording,Uncategorised,Start recording,ریکارڈنگ شروع کریں,Recording shuru karein,
inspFormPartNameHint,Uncategorised,e.g. the part or material used,مثلاً استعمال ہونے والا پرزہ یا سامان,Maslan istemal hone wala purza ya saman,
inspFormWarrantyHint,Uncategorised,e.g. 7 days,مثلاً 7 دن,Maslan 7 din,
inspFormRemovePart,Uncategorised,Remove part,پرزہ ہٹائیں,Part hatayein,
inspFormTotalAmount,Uncategorised,Total amount for the work,کام کی پوری رقم,Kam ki puri raqam,
inspFormFeeWaivedNote,Uncategorised,"If the customer continues with the repair, the inspection fee will not be charged.",اگر کسٹمر مرمت جاری رکھواتا ہے تو معائنہ فیس نہیں لی جائے گی۔,Agar customer repair continue karwata hai to Muaina fee nhi deni hogi.,
inspHintElectrical,Uncategorised,"e.g. switch is broken, wire is shorted...",مثلاً سوئچ خراب ہے، تار شارٹ ہے...,"Misal: switch kharab hai, wire short hai...",
inspHintPlumbing,Uncategorised,"e.g. pipe is leaking, drain is blocked...",مثلاً پائپ لیک ہے، ڈرین بلاک ہے...,"Misal: pipe leak hai, drain block hai...",
inspHintAc,Uncategorised,"e.g. AC is not cooling, gas leak...",مثلاً اے سی ٹھنڈا نہیں کر رہا، گیس لیک ہے...,"Misal: AC cooling nahi kar raha, gas leak hai...",
inspHintCarpentry,Uncategorised,"e.g. door does not close properly, hinge is broken...",مثلاً دروازہ ٹھیک سے بند نہیں ہوتا، قبضہ ٹوٹ گیا...,"Misal: darwaza theek se band nahi hota, hinge toot gaya...",
workerCompleteProfile,Ustaad,Complete Profile,پروفائل مکمل کریں,Profile mukammal karein,
workerApprovalRequired,Ustaad,Profile approval is required before you can receive jobs.,کام ملنے سے پہلے پروفائل کی منظوری ضروری ہے۔,Kaam milne se pehle profile ki manzoori zaroori hai.,
workerCompleteProfileDetails,Ustaad,Complete your profile details.,اپنی پروفائل کی تفصیلات مکمل کریں۔,Apni profile ki details complete karain.,
workerCompleteProfileWhy,Ustaad,You can only apply for or be hired for jobs once your profile is complete.,پروفائل مکمل ہونے کے بعد ہی آپ کاموں کے لیے اپلائی یا ہائر ہو سکیں گے۔,Profile complete honay ke baad hi aap jobs ke liye apply ya hire ho sakenge.,
earningJobsCompleted,Earnings,"{count, plural, =1{{count} job completed} other{{count} jobs completed}}",{count} کام مکمل,{count} jobs completed,Placeholders: {count} | ICU plural — keep the plural syntax intact
bookingStatusLive,Bookings / Status labels,Live,جاری,Jaari,Booking badge: posted or work underway
bookingStatusAssigned,Bookings / Status labels,Assigned,مقرر,Assign,Booking badge: an Ustaad has taken the job
